CODIGO;DESCRIPCION;Present.;PRECIO
ANESTESIOLOGIA;NEURO-183 BLOQUEO SENSITIVO POR PUNCION PERIDURAL ;PUNTOS;500
CARDIOLOGÕA;CARDIO-084 PROCEDIMIENTOS CENTRALES PERICARDIOCENTESIS;PUNTOS;1.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-001 PROCEDIMIENTOS VENOSOS CURA OPERATORIADE ULCERA VARICOSA SIMPLE;PUNTOS;667
CIRUGIA CARDIO VASCULAR;CARDIO-002 PROCEDIMIENTOS VENOSOS CURA OPERATORIADE ULCERA VARICOSA BILATERAL SIMPLE;PUNTOS;1.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-003 PROCEDIMIENTOS VENOSOS CURA OPERATORIA DE ULCERA VARICOSA BILATERAL MAS LIGADURA DE COLAT;PUNTOS;1.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-004 PROCEDIMIENTOS VENOSOS FLEBOEXTRACCION SEGMENTARIA BILATERAL POR ENCIMA O DEBAJO DE LA RO;PUNTOS;1.667,00
CIRUGIA CARDIO VASCULAR;CARDIO-005 PROCEDIMIENTOS VENOSOS FLEBOEXTRACCION SEGMENTARIA BILATERAL POR ENCIMA Y DEBAJO DE LA RO;PUNTOS;1.667,00
CIRUGIA CARDIO VASCULAR;CARDIO-006 PROCEDIMIENTOS VENOSOS FLEBECTOMIA POR TECNICA DE MINIMAS INCISIONES (VARADY/MULLER);PUNTOS;1.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-007 PROCEDIMIENTOS VENOSOS SAFENECTOMIA SIMPLE UNILATERAL;PUNTOS;1.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-008 PROCEDIMIENTOS VENOSOS SAFENECTOMIA SIMPLE BILATERAL;PUNTOS;1.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-009 PROCEDIMIENTOS VENOSOS TROMBECTOMIA VENOSA ILEOFEMORAL UNILATERAL;PUNTOS;2.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-010 PROCEDIMIENTOS VENOSOS TROMBECTOMIA VENOSA ILEOFEMORAL BILATERAL;PUNTOS;2.067,00
CIRUGIA CARDIO VASCULAR;CARDIO-011 PROCEDIMIENTOS VENOSOS CIRUGIA DE CHIVAS PARA PERFORANTES UNILATERAL;PUNTOS;1.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-012 PROCEDIMIENTOS VENOSOS CIRUGIA DE CHIVAS PARA PERFORANTES BILATERAL;PUNTOS;1.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-013 PROCEDIMIENTOS VENOSOS ANEURISMA VENOSO PERIFERICO;PUNTOS;1.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-014 PROCEDIMIENTOS VENOSOS QUISTE LINFATICO;PUNTOS;1.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-015 PROCEDIMIENTOS VENOSOS PLICATURA DE VENA CAVA INFERIOR;PUNTOS;2.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-016 PROCEDIMIENTOS VENOSOS VENOPLASTIA INTRABDOMINAL;PUNTOS;1.667,00
CIRUGIA CARDIO VASCULAR;CARDIO-017 PROCEDIMIENTOS VENOSOS VENOPLASTIA PERIFERICA;PUNTOS;1.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-018 PROCEDIMIENTOS VENOSOS VENORRAFIA INTRAABDOMINAL;PUNTOS;1.667,00
CIRUGIA CARDIO VASCULAR;CARDIO-019 PROCEDIMIENTOS VENOSOS VENORRAFIA PERIFERICA;PUNTOS;1.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-020 PROCEDIMIENTOS ARTERIALES ANEURISMECTOMIA PERIFERICA UNILATERAL;PUNTOS;1.667,00
CIRUGIA CARDIO VASCULAR;CARDIO-021 PROCEDIMIENTOS ARTERIALES ANEURISMECTOMIA PERIFERICA BILATERAL;PUNTOS;2.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-022 PROCEDIMIENTOS ARTERIALES ANEURISMA DE AORTA ABDOMINALACCIDENTADO;PUNTOS;4.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-023 PROCEDIMIENTOS ARTERIALES ARTERIORRAFIA PERIFERICA;PUNTOS;1.667,00
CIRUGIA CARDIO VASCULAR;CARDIO-024 PROCEDIMIENTOS ARTERIALES ARTERIORRAFIA INTRAABDOMINAL O TORACICA;PUNTOS;2.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-025 PROCEDIMIENTOS ARTERIALES ARTERIOPLASTIA PERIFERICA;PUNTOS;1.667,00
CIRUGIA CARDIO VASCULAR;CARDIO-026 PROCEDIMIENTOS ARTERIALES ARTERIOPLASTIA INTRAABDOMINAL O TORACICA;PUNTOS;2.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-027 PROCEDIMIENTOS ARTERIALES BYPASS AORTO AORTICO;PUNTOS;4.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-028 PROCEDIMIENTOS ARTERIALES BYPASS AORTO FEMORAL UNILATERAL;PUNTOS;3.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-029 PROCEDIMIENTOS ARTERIALES BYPASS AORTO FEMORAL BILATERAL;PUNTOS;4.667,00
CIRUGIA CARDIO VASCULAR;CARDIO-030 PROCEDIMIENTOS ARTERIALES BYPASS AORTO ILIACO UNILATERAL;PUNTOS;4.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-031 PROCEDIMIENTOS ARTERIALES BYPASS AORTO ILIACO BILATERAL;PUNTOS;4.667,00
CIRUGIA CARDIO VASCULAR;CARDIO-032 PROCEDIMIENTOS ARTERIALES BYPASS FEMORO FEMORAL EXTRAANATOMICO;PUNTOS;3.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-033 PROCEDIMIENTOS ARTERIALES BYPASS FEMORO POPLITEO UNILATERAL CON PROTESIS;PUNTOS;2.667,00
CIRUGIA CARDIO VASCULAR;CARDIO-034 PROCEDIMIENTOS ARTERIALES BYPASS FEMORO POPLITEO UNILATERAL CON PROTESIS MAS ENDARTERECTO;PUNTOS;3.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-035 PROCEDIMIENTOS ARTERIALES BYPASS FEMORO POPLITEO BILATERAL CON PROTESIS;PUNTOS;4.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-036 PROCEDIMIENTOS ARTERIALES BYPASS FEMORO POPLITEO BILATERAL CON PROTESIS MAS ENDARTERECTOM;PUNTOS;4.333,00
