ITEMBMBR,itemdesc,COSTO_ACT,ULTIMO_COSTO,MODIFDT,ITMCLSCD,PORCENTAJE,METODO_PRECIO,UOFM,QTYBSUOM,PRECIO_UC,PRECIO_CA,PVP,USCATVLS_4
22-P ANESTESIOLOGO,22-P ANESTESIOLOGO,"0,00",,,HOME       ,"0,01",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","0,01",SMGeneral  
22-P CIRUJANO PRINCIPAL,22-P CIRUJANO PRINCIPAL,"0,00",,,HOME       ,"0,01",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","0,01",SMGeneral  
22-P INSTRUMENTAL ESPECIALIZAO,22-P USO INSTRUMENTAL ESPECIALIZADO,"0,00",,,HOME       ,"0,01",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","0,01",SMGeneral  
ANAT0001,ADENOIDES,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0002,AMIGDALAS,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0003,AMIGDALAS + ADENOIDES,"0,00",,,ANAT       ,"952,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","952,00",SMGeneral  
ANAT0004,ANEURISMA,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0005,ANEXO (OVARIO+TROMPA),"0,00",,,ANAT       ,"952,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","952,00",SMGeneral  
ANAT0006,ANO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0007,AORTA,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0008,APENDICE CECAL (APENDICECTOMIA),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0009,ARTERIA,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0010,BAZO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0011,BIOPSIA BRONQUIAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0012,BIOPSIA DE PIEL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0013,BIOPSIA ENDOMIOCARDICA,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0014,BIOPSIA ESOFAGO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0015,BIOPSIA GASTRICA,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0016,BIOPSIA INTESTINAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0017,BIOPSIA PRE-OPERATORIA,"0,00",,,ANAT       ,"550,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","550,00",SMGeneral  
ANAT0018,BIOPSIA TRANSBRONQUIAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0019,BLOQUES DE REVISION (DE 1 A 5),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0020,BLOQUES DE REVISION (DE 5 A 10),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0021,BLOQUES DE REVISION DE 10 EN ADELANTE,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0022,BULBO RAQUIDEO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0023,CABEZA DE FEMUR,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0024,CAVIDAD ORAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0025,CEPILLADO BRONQUIAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0026,CEREBELO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0027,CEREBRO ESTEREOTAXICA,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0028,CEREBRO TUMOR,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0029,CITOLOGIA CEPILLADO BRONQUIAL,"0,00",,,ANAT       ,"220,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","220,00",SMGeneral  
ANAT0030,CITOLOGIA DE GANGLIO,"0,00",,,ANAT       ,"220,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","220,00",SMGeneral  
ANAT0031,CITOLOGIA DE LAVADO BRONQUIAL,"0,00",,,ANAT       ,"220,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","220,00",SMGeneral  
ANAT0032,CITOLOGIA DE ORINA,"0,00",,,ANAT       ,"220,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","220,00",SMGeneral  
ANAT0033,CITOLOGIA DE PAAF DE MAMA,"0,00",,,ANAT       ,"220,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","220,00",SMGeneral  
ANAT0034,CITOLOGIA DE PAAF DE TIROIDES,"0,00",,,ANAT       ,"220,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","220,00",SMGeneral  
ANAT0035,CITOLOGIA DE QUISTE DE OVARIO/TESTICULO,"0,00",,,ANAT       ,"220,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","220,00",SMGeneral  
ANAT0036,CITOLOGIA DE TIROIDES,"0,00",,,ANAT       ,"220,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","220,00",SMGeneral  
ANAT0037,CITOLOGIA DESPISTAJE (EXO Y ENDO),"0,00",,,ANAT       ,"220,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","220,00",SMGeneral  
ANAT0038,CITOLOGIA ESPUTO SERIADO C/U,"0,00",,,ANAT       ,"220,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","220,00",SMGeneral  
ANAT0039,CITOLOGIA LIQUIDO CEFALORRAQUIDEO,"0,00",,,ANAT       ,"220,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","220,00",SMGeneral  
ANAT0040,CITOLOGIA LIQUIDO PERITONEAL,"0,00",,,ANAT       ,"220,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","220,00",SMGeneral  
ANAT0041,CITOLOGIA LIQUIDO PLEURAL,"0,00",,,ANAT       ,"220,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","220,00",SMGeneral  
ANAT0042,CITOLOGIA LIQUIDO SERIADO C/U,"0,00",,,ANAT       ,"220,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","220,00",SMGeneral  
ANAT0043,CITOLOGIA OTROS,"0,00",,,ANAT       ,"220,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","220,00",SMGeneral  
ANAT0044,CITOLOGIA SECRECION MAMARIA,"0,00",,,ANAT       ,"220,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","220,00",SMGeneral  
ANAT0045,COAGULOS,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0046,COLON (CONDICION NO TUMORAL),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0047,COLON (CONDICION TUMORAL),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0048,COLON (ENDOSCOPIA),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0049,COLUMNA VERTEBRAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0050,COLUMNA VERTEBRAL PUNCION,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0051,CONIZACION CUELLO UTERINO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0052,CORDON DEFERENTE X 2,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0053,CORDON UMBILICAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0054,CORNETES,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0055,CUELLO UTERINO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0056,CUERDA VOCAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0057,CUERO CABELLUDO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0058,CURETAJE UTERINO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0059,DEDO AMPUTACION,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0060,DISCO INTERVERTEBRAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0061,DUODENO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0062,ENDOCARIO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0063,ENDOMETRIO (MATERIAL),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0064,ENDOMETRIO POLIPO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0065,EPIDIDIMO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0066,EPIGLOTIS,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0067,EPIPLON,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0068,EPIPLON TUMORAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0069,ESTOMAGO (BIOPSIA ENDOSCOPICA),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0070,ESTOMAGO (GASTRECTOMIA),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0071,ESTUDIOS,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0072,"EXOFAGO, ESTOMAGO, COLON, MUCOSECTOMIA","0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0073,EXTREMIDADES (AMPUT.X CONDIC.NO TUMORAL),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0074,EXTREMIDADES (AMPUT.X CONDIC.TUMORAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0075,FARINGE,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0076,FETOS MORTINATOS Y SIMILARES,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0077,FISTULA,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0078,FISTULA PERIANAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0079,FONDO DE SACO DE DOUGLAS,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
